b8|0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,-1,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,-1,-1,0,0,0,0,-1;0,0,0,-1,0,0,0,-1,0,0;0,0,0,0,-1,0,-1,0,0,0;-1,-1,0,0,0,-1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,0,0,-1,0;0,0,0,0,-1,0,0,0,0,0;0,0,-1,0,0,-1,0,0,0,0|0|0|3.3372653|1484|18 18 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24 24
b6e|0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,-1,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,-1,-1,0,0,0,0,-1;0,0,0,-1,0,0,0,-1,0,0;0,0,0,0,-1,0,-1,0,0,0;-1,-1,0,0,0,-1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,0,0,-1,0;0,0,0,0,-1,0,0,0,0,0;0,0,-1,0,0,-1,0,0,0,0|0|0|3.3372653|0|26 26 26 26 26 26 26 26 26 24 24 24 24 28 24 24 8 8 8 0 0 0 0 0
b6f|-1,0,0,0,0,-1,0;0,0,0,0,1,-1,0;0,0,0,0,0,-1,0;0,0,0,0,0,-1,0;0,-1,-1,-1,0,0,0;0,0,-1,0,0,0,-1;0,-1,0,-1,0,-1,0;-1,0,0,0,-1,0,0;0,-1,0,0,0,0,0;0,0,0,0,-1,-1,0|0|0|3.3372653|0|18 18 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24 24
b52|0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,-1,-1,0;-1,0,0,0,-1,0,0;0,0,0,-1,0,0,0;0,-1,-1,-1,0,0,0;0,0,-1,0,0,0,-1;0,0,0,-1,0,-1,0;-1,0,0,0,-1,0,0;0,0,0,0,0,0,0;0,0,0,0,-1,0,0|0|0|3.302307|21|18 18 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24 24
b72|0,0,0,0,0,0,0;0,0,0,0,0,0,0;0,0,0,0,-1,-1,0;-1,0,0,0,-1,0,0;0,0,0,-1,0,0,0;0,-1,-1,-1,0,0,0;0,0,-1,0,0,0,-1;0,0,0,-1,0,-1,0;-1,0,0,0,-1,0,0;0,0,0,0,0,0,0;0,0,0,0,-1,0,0|0|0|3.302307|0|0 0 0 0 17 17 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24 24 24 24 24 24 24 16 16 16 16
b73|0,0,0,-1,0;0,0,0,0,-1;-1,0,0,0,-1;0,-1,0,-1,0;0,-1,-1,-1,-1;0,-1,-1,0,0;0,0,0,-1,0;-1,0,0,-1,-1|0|0|3.302307|0|18 18 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24 24
b51|0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,-1,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,-1,-1,0,0,0,0,-1;0,0,0,-1,0,0,0,-1,0,0;0,0,0,0,-1,0,-1,0,0,0;-1,-1,0,0,0,-1,0,0,0,0;0,0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,0,0,-1,0;0,0,0,0,-1,0,0,0,0,0;0,0,-1,0,0,-1,0,0,0,0|0|0|3.3023047|16|14 14 14 10 26 24 30 26 26 26 24 26 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24
b35|0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,-1,0,0;0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0;0,0,0,-1,-1,0,0,0,0;0,0,-1,-1,0,0,0,-1,0;0,0,0,0,-1,0,-1,0,0;-1,-1,0,0,0,-1,0,0,0;0,0,0,0,0,0,0,0,0;0,-1,0,0,0,-1,0,0,-1|0|0|3.2673464|20|18 18 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24 24
b53|0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0;0,0,0,0,0,-1,-1,0,0;0,0,0,0,0,0,0,0,0;0,0,0,0,0,0,0,0,0;0,0,0,-1,-1,0,0,0,0;0,0,-1,-1,0,0,0,-1,0;0,0,0,0,-1,0,-1,0,0;-1,-1,0,0,0,-1,0,0,0;0,0,0,0,0,0,0,0,0;0,-1,0,0,0,-1,0,0,-1|0|0|3.2673464|2|24 24 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 2
b54|0,0,0,0,0,0,0;0,-1,0,0,0,0,0;0,-1,0,0,0,-1,0;-1,-1,0,0,0,0,0;-1,0,0,0,0,0,0;0,0,0,-1,-1,0,0;0,0,-1,1,0,0,0;0,0,0,0,-1,0,-1;-1,-1,-1,0,0,0,0;0,0,0,0,0,0,0|0|0|3.2673464|2|18 18 18 18 18 18 26 26 26 26 26 26 24 24 24 24 24 24 24 8 8 8 8 8 8 0 16 16 24 24
